ip_address,email_address,user_agent,customer_city,customer_state,customer_postal,EVENT_TIMESTAMP,customer_name,customer_address,phone_number,EVENT_LABEL
192.94.136.134,synth_crossdaniel@gmail.com,Opera/9.64.(X11; Linux x86_64; eo-US) Presto/2.9.161 Version/12.00,Mauriceshire,NY,32155,29/4/2019 8:34,Heidi Santos,43424 Davis Inlet Apt. 764,(555)715 - 6254,0
192.31.192.222,synth_wilsonjustin@yahoo.com,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; nl-NL) AppleWebKit/531.3.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6531.3.2",Port Jennifer,ND,32843,29/4/2019 8:41,Danielle Cooper,55403 Jackson Hill,(555)740 - 7222,0
192.174.61.17,synth_julie09@hotmail.com,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; dz-BT) AppleWebKit/535.20.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6535.20.7",South Jenniferside,NY,34109,29/4/2019 8:43,Natalie Yu,68642 Leslie Rest Suite 087,(555)514 - 6454,0
192.88.115.133,synth_max43@hotmail.com,Opera/8.42.(X11; Linux x86_64; sat-IN) Presto/2.9.184 Version/12.00,Port Andrewberg,KS,33965,29/4/2019 8:48,Ryan Navarro,403 Linda Parkway,(555)303 - 9960,0
73.60.135.213,synth_billy51@gmail.com,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; ckb-IQ) AppleWebKit/535.6.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6535.6.4",Myersbury,LA,32156,29/4/2019 8:51,William Montoya,2566 Henderson Creek Apt. 138,(555)992 - 9688,0
198.55.243.30,synth_anne79@gmail.com,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/5.0),Ashleyfurt,ND,32678,29/4/2019 8:53,Melissa Salas,987 Acevedo Trail,(555)758 - 1630,0
192.88.249.188,synth_staceycruz@hotmail.com,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/532.7.4 (KHTML, like Gecko) Version/4.0 Safari/532.7.4",Kellybury,WV,32272,29/4/2019 8:57,Austin Kennedy,278 Patricia Valley Suite 472,(555)972 - 6047,0
192.0.30.125,synth_roseluna@gmail.com,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/5.0),Garciatown,ND,32823,29/4/2019 9:13,Ryan Watson,8811 Rosales Creek Apt. 217,(555)519 - 9482,0
198.11.39.63,synth_jeffreycarter@yahoo.com,Opera/9.91.(Windows 95; km-KH) Presto/2.9.167 Version/11.00,Bookermouth,OR,34959,29/4/2019 9:15,Yolanda Figueroa,77250 Montgomery Square,(555)986 - 7037,0
198.46.97.58,synth_zanderson@hotmail.com,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; lij-IT) AppleWebKit/532.35.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B113 Safari/6532.35.7",Terrishire,KS,33538,29/4/2019 9:18,Charles Matthews,957 Vanessa Cove,(555)241 - 8758,0
